Generation,Reward,Best Fitness,Mean Fitness,Std Fitness,Execution Time
0,0.40542415564706175,0.40542415564706175,-0.034544461561586574,0.2734130755864744,7095.1017780303955
1,0.5753680519164407,0.5753680519164407,0.10244865527640457,0.2989944119787188,7095.1017780303955
2,0.6310145707511133,0.6310145707511133,0.289608248311265,0.20575564656441309,7095.1017780303955
3,0.7249007188492284,0.7249007188492284,0.3434394372886837,0.22532013750880422,7095.1017780303955
4,0.8883403463527851,0.8883403463527851,0.34573176678493733,0.2730114269075415,7095.1017780303955
5,1.106164546601977,1.106164546601977,0.457234384408327,0.2747001875749763,7095.1017780303955
6,1.106164546601977,1.106164546601977,0.38028999083545734,0.35619398154273924,7095.1017780303955
7,1.106164546601977,1.106164546601977,0.38220698290991606,0.3548178223560998,7095.1017780303955
8,1.726690865861889,1.726690865861889,0.5095903172278105,0.5091691529371832,7095.1017780303955
9,1.7531194408204944,1.7531194408204944,0.5500508429802492,0.5225743772007712,7095.1017780303955
10,1.7531194408204944,1.7531194408204944,0.729442768306676,0.5225109040271085,7095.1017780303955
11,1.7531194408204944,1.7531194408204944,0.8537658403016304,0.4827325878188838,7095.1017780303955
12,1.8669004957254831,1.8669004957254831,0.7063505141396245,0.6754193502333025,7095.1017780303955
13,2.249490772109149,2.249490772109149,0.9377962458602044,0.6685031606817524,7095.1017780303955
14,2.249490772109149,2.249490772109149,1.1477441662518877,0.6742080313449709,7095.1017780303955
15,2.249490772109149,2.249490772109149,1.2136755907967842,0.6212727253991911,7095.1017780303955
16,2.249490772109149,2.249490772109149,1.0240572942776711,0.784039879012576,7095.1017780303955
17,2.249490772109149,2.249490772109149,1.371714363429787,0.6210522880507535,7095.1017780303955
18,2.2820752637987094,2.2820752637987094,1.2555739747517394,0.6380906257540822,7095.1017780303955
19,2.424177424650138,2.424177424650138,1.410478670886697,0.7886318007645399,7095.1017780303955
20,2.672035361836527,2.672035361836527,1.667243772931989,0.7444786246754789,7095.1017780303955
21,2.672035361836527,2.672035361836527,1.6119976342252635,0.769649966274574,7095.1017780303955
22,2.672035361836527,2.672035361836527,1.662511346385024,0.7438530829501644,7095.1017780303955
23,2.672035361836527,2.672035361836527,1.752565049435057,0.7376321214505369,7095.1017780303955
24,2.842613041934427,2.842613041934427,1.6929721204209085,0.751483711644129,7095.1017780303955
25,2.842613041934427,2.842613041934427,1.4973144183063878,0.8455970232401718,7095.1017780303955
26,2.842613041934427,2.842613041934427,1.7507805594289159,0.8016483304172762,7095.1017780303955
27,2.842613041934427,2.842613041934427,1.5588595359119586,0.8827591898974618,7095.1017780303955
28,2.842613041934427,2.842613041934427,1.4349014745492858,0.9780333764679716,7095.1017780303955
29,2.9127649060273906,2.9127649060273906,1.5951889617367125,0.9695645729607759,7095.1017780303955
30,2.9127649060273906,2.9127649060273906,1.6507941098122245,0.8799210235297159,7095.1017780303955
31,2.9127649060273906,2.9127649060273906,1.9828371955904807,0.7526763056680199,7095.1017780303955
32,2.9534133968040948,2.9534133968040948,1.744940518521102,0.9457384587195303,7095.1017780303955
33,2.9679571185423654,2.9679571185423654,1.9125494700748313,0.8824506993778259,7095.1017780303955
34,2.9679571185423654,2.9679571185423654,1.9099380813555527,0.8425035498176324,7095.1017780303955
35,2.9679571185423654,2.9679571185423654,1.7605959526771842,0.8539983993114575,7095.1017780303955
36,3.0301464625979713,3.0301464625979713,1.9163384448968919,0.9149169462070255,7095.1017780303955
37,3.0301464625979713,3.0301464625979713,1.8333847724588597,1.008943935382118,7095.1017780303955
38,3.0301464625979713,3.0301464625979713,1.897356869348815,0.987388963687955,7095.1017780303955
39,3.0301464625979713,3.0301464625979713,2.031091386007391,0.9211877725357951,7095.1017780303955
40,3.0693882725382253,3.0693882725382253,2.0293083615683183,0.9216890813407494,7095.1017780303955
41,3.0693882725382253,3.0693882725382253,2.057671726499733,0.8725361197341099,7095.1017780303955
42,3.0693882725382253,3.0693882725382253,1.9509824469308676,0.831816978287053,7095.1017780303955
43,3.0693882725382253,3.0693882725382253,1.892448279265949,1.0153447583553208,7095.1017780303955
44,3.0693882725382253,3.0693882725382253,1.926709690301618,0.9841457576164183,7095.1017780303955
45,3.1975899616162367,3.1975899616162367,1.9410024672771058,1.0273794084811623,7095.1017780303955
46,3.1975899616162367,3.1975899616162367,1.7839024693098857,1.01575590936471,7095.1017780303955
47,3.1975899616162367,3.1975899616162367,1.7369967523921006,1.111607461625852,7095.1017780303955
48,3.1975899616162367,3.1975899616162367,1.9978328885497507,0.9966479713494923,7095.1017780303955
49,3.1975899616162367,3.1975899616162367,2.0374313148786296,0.9453118919818614,7095.1017780303955
50,3.1975899616162367,3.1975899616162367,2.010480981878146,0.8484117680122194,7095.1017780303955
51,3.1975899616162367,3.1975899616162367,1.8427352901395195,1.0224744990355856,7095.1017780303955
52,3.1975899616162367,3.1975899616162367,1.8328405659036267,0.9950236697084768,7095.1017780303955
53,3.230056503580936,3.230056503580936,1.862589231873241,1.0543877584962986,7095.1017780303955
54,3.230056503580936,3.230056503580936,1.9774809005487959,1.0863806173260335,7095.1017780303955
55,3.230056503580936,3.230056503580936,2.3220199697498782,0.9386071603717213,7095.1017780303955
56,3.230056503580936,3.230056503580936,1.8814551367076136,1.144198443338258,7095.1017780303955
57,3.3755116835358914,3.3755116835358914,2.096080750863627,1.02971818531346,7095.1017780303955
58,3.3755116835358914,3.3755116835358914,2.0594998131547517,0.9834342771701046,7095.1017780303955
59,3.3755116835358914,3.3755116835358914,2.132490178151893,1.0821294808014177,7095.1017780303955
60,3.3755116835358914,3.3755116835358914,2.0473196361314097,1.0364323751886928,7095.1017780303955
61,3.3755116835358914,3.3755116835358914,2.1649930991991324,1.124825258000668,7095.1017780303955
62,3.3755116835358914,3.3755116835358914,2.0986548621747287,1.1675223679769455,7095.1017780303955
63,3.3755116835358914,3.3755116835358914,2.0754348278666006,1.0774179459741335,7095.1017780303955
64,3.3755116835358914,3.3755116835358914,2.2815606082766435,1.0037213318101026,7095.1017780303955
65,3.3755116835358914,3.3755116835358914,2.189036181648222,1.1112412841374693,7095.1017780303955
66,3.3755116835358914,3.3755116835358914,1.7960350914424612,1.1396702838074215,7095.1017780303955
67,3.3755116835358914,3.3755116835358914,2.2690034665610064,1.116774344908797,7095.1017780303955
68,3.3755116835358914,3.3755116835358914,1.9419345645111867,1.16257994243977,7095.1017780303955
69,3.393846329786749,3.393846329786749,2.088796195503723,1.1508599921652094,7095.1017780303955
70,3.393846329786749,3.393846329786749,2.232102997462518,1.0354788786531395,7095.1017780303955
71,3.393846329786749,3.393846329786749,1.9011633904686043,1.1751312644901852,7095.1017780303955
72,3.393846329786749,3.393846329786749,2.1397794918060553,1.028262911342065,7095.1017780303955
