Generation,Mean Best Fitness,Mean Fitness,Std Fitness,Mean Execution Time
0,0.07465576697762898,0.0018663941744407244,0.011655627883604755,4682.871009397507
1,0.021895625719424515,-0.0010292686113357534,0.00831399864187075,4682.871009397507
2,0.003970389842079714,-0.058155829012663994,0.28331180837751935,4682.871009397507
3,0.061515097506642025,-0.018632228528109068,0.12266297211789934,4682.871009397507
4,0.024811528342898948,-0.003513680935294367,0.027220759749305535,4682.871009397507
5,0.00045622347328164723,-0.01916419803182638,0.11975345472336936,4682.871009397507
6,0.38736836272169545,-0.009091079982747215,0.1756317625628842,4682.871009397507
7,0.009881234210248058,0.00010450691698365515,0.002111867720961042,4682.871009397507
8,0.06570421311779771,-0.05320456162867791,0.28051832057406123,4682.871009397507
9,0.10588756459787212,-0.01439063848735642,0.12701652445551043,4682.871009397507
10,0.13414742065908342,-0.012607994778103326,0.12348011238647187,4682.871009397507
11,0.07629183033966855,0.0008816867113283939,0.028138595205762403,4682.871009397507
12,0.31906912379884916,-0.025359029975179203,0.2800227272804985,4682.871009397507
13,0.3166507860295148,0.0014143413090754863,0.14324891177832583,4682.871009397507
14,0.3420725091343047,0.016393168843317523,0.059941445708417515,4682.871009397507
15,0.2971253961414867,-0.02189061243859206,0.2657293889910575,4682.871009397507
16,0.426565049902092,-0.07761630901096275,0.3916011195602859,4682.871009397507
17,0.4907296908678827,-0.03889774042874639,0.2591926799632548,4682.871009397507
18,0.24327776544911578,-0.002210319163453205,0.17060545491520993,4682.871009397507
19,0.3192826479390467,-0.012656318143889539,0.19242647010759897,4682.871009397507
20,0.1933079085137389,-0.017083161699882082,0.19039108812717725,4682.871009397507
21,0.3223733947268689,0.00984963325759303,0.15600893827621043,4682.871009397507
22,0.4803940139542714,-0.055069547226129244,0.3930600991938135,4682.871009397507
23,0.47238709713734905,-0.015037026281004399,0.35754754473974315,4682.871009397507
24,0.4636683302716933,0.041803905915592424,0.205497405266278,4682.871009397507
25,0.6750962498367692,0.044370633803895984,0.21996675267480184,4682.871009397507
26,0.4945774764976423,-0.0024738288843201644,0.33277213069306616,4682.871009397507
27,0.7870439928855191,0.0483891683044361,0.2271059369586365,4682.871009397507
28,0.6356935575111125,-0.012239609289091449,0.45603378871382094,4682.871009397507
29,0.8384928721511965,0.08130037776093833,0.17795429088889203,4682.871009397507
30,0.7602766099501361,0.09777227382658225,0.16244176845965377,4682.871009397507
31,0.7153064526424495,-0.0047801938462241535,0.5132591801455731,4682.871009397507
32,0.6246874472929032,0.05528574702984711,0.36900034455503683,4682.871009397507
33,0.6824406134254872,-0.004236008667990154,0.37687541904062793,4682.871009397507
34,0.6551760759186447,0.09262109335191178,0.1865799452355707,4682.871009397507
35,0.6388002155320135,0.01930168400660438,0.5054079914368034,4682.871009397507
36,0.7336687402306796,0.006017633808077333,0.40933733465921096,4682.871009397507
37,0.760015773109336,0.08400919231196394,0.3509728302067754,4682.871009397507
38,0.7376524088848145,0.09718077856324955,0.1957833317465719,4682.871009397507
39,0.8719159359768824,0.03393207506137218,0.34145074683155224,4682.871009397507
