Best Fitness (Evolution Strategy),Mean Fitness (Evolution Strategy),Std Fitness (Evolution Strategy),Execution Time (Evolution Strategy),Best Fitness (Evolution Strategy Bridge),Mean Fitness (Evolution Strategy Bridge),Std Fitness (Evolution Strategy Bridge),Execution Time (Evolution Strategy Bridge)
1.3715225915091653,0.10600435000377698,0.459993145500886,6854.226724004746,0.6789386562618405,-0.02659014059590676,0.38287269039412297,7190.04752073288
1.4718499406118573,0.42910199313748265,0.3832775082082392,6854.226724004746,0.762806872345831,0.22827539801268276,0.1988505306880587,7190.04752073288
1.4718499406118573,0.623539204086246,0.36604821698174245,6854.226724004746,0.9627615766335611,0.3854796242283869,0.22473784596379134,7190.04752073288
1.5747290489272223,0.7768938018696774,0.34960780865175467,6854.226724004746,1.0071354292498422,0.560527094950776,0.22074577744679535,7190.04752073288
1.8302586841702524,1.0617140420224342,0.34431104659230904,6854.226724004746,1.2454164012840132,0.7340312088060349,0.2082333219220613,7190.04752073288
2.0375052993099985,1.255669389655717,0.34982344743187344,6854.226724004746,1.8380208346470646,0.9200323357157043,0.3047662090829072,7190.04752073288
2.051524378170919,1.4686727048891282,0.3204744776953873,6854.226724004746,1.941279533752714,1.0695137089084832,0.27961221985259144,7190.04752073288
2.051524378170919,1.6529917917572685,0.24712481399932357,6854.226724004746,2.0946308622910155,1.238738590137175,0.3178271224015895,7190.04752073288
2.1008990829047725,1.7579473079916224,0.19448708274731713,6854.226724004746,2.3629095810668206,1.4939594590680545,0.36474640389408036,7190.04752073288
2.198676521466324,1.8427091790052716,0.16344401580538492,6854.226724004746,2.4691356419339465,1.7027251242662895,0.32643353206714654,7190.04752073288
2.2492402233635636,1.9077918612252642,0.1429562216970473,6854.226724004746,2.6653977815222465,1.901277794664874,0.331745981829737,7190.04752073288
2.277347602966401,1.9628486233831008,0.13570806780372338,6854.226724004746,2.8978586316361756,2.0615762315547594,0.32670229943053813,7190.04752073288
2.3103180727973833,2.005228644386645,0.13600420442005684,6854.226724004746,3.078363306771582,2.272669999697582,0.2856421998775026,7190.04752073288
2.3472245375547316,2.0498528306378634,0.1385981688621903,6854.226724004746,3.078363306771582,2.3689044047914036,0.26392365526466594,7190.04752073288
2.442026588848438,2.1056105570342507,0.14841084430277054,6854.226724004746,3.144021494289191,2.4980628016546644,0.2450220074796552,7190.04752073288
2.6116136621286374,2.1693245496640556,0.16719435937435131,6854.226724004746,3.2022384375849953,2.597405191174745,0.2628016967496554,7190.04752073288
2.6116136621286374,2.2424390405896277,0.15292196561550772,6854.226724004746,3.221945403991436,2.6855892344106334,0.2462783363298388,7190.04752073288
2.68332698443155,2.302590271529941,0.15217281515452635,6854.226724004746,3.2863333973037485,2.7619855975105154,0.23215956401097423,7190.04752073288
2.68332698443155,2.3530754331687374,0.13928719669942255,6854.226724004746,3.4112419796728934,2.853477095478522,0.23441047698300715,7190.04752073288
2.6989974733426716,2.4009995115611176,0.14859600242996882,6854.226724004746,3.4112419796728934,2.934719576978619,0.19187312106852084,7190.04752073288
3.0707047470429663,2.4876366545715145,0.2126324640377839,6854.226724004746,3.437143090065638,2.9952738120978317,0.19085273773827552,7190.04752073288
3.0707047470429663,2.5588083631715968,0.1990352845818802,6854.226724004746,3.437143090065638,3.0536387541283054,0.17358708294570335,7190.04752073288
3.1283909169350976,2.6256182975441846,0.18901101686155494,6854.226724004746,3.437143090065638,3.132291112917913,0.1621295418459849,7190.04752073288
3.2707456909853954,2.720244926222674,0.21067769582076284,6854.226724004746,3.4637937317035123,3.1863857692966477,0.1452254282764758,7190.04752073288
3.47966715188175,2.8386623175636614,0.25295356804097074,6854.226724004746,3.639040052864418,3.2548625818374495,0.15917890336796062,7190.04752073288
3.5208032362082697,2.9432547148168022,0.25823793624802516,6854.226724004746,3.7415176231915916,3.300854395344038,0.1587238831301942,7190.04752073288
3.5633695676816473,3.0252046244600224,0.23558693438765216,6854.226724004746,3.9370510141751147,3.3873664629747147,0.1955206081181374,7190.04752073288
3.71158062902116,3.1359489790450152,0.23100943797731094,6854.226724004746,3.9370510141751147,3.462968640410222,0.17932135578971936,7190.04752073288
3.71158062902116,3.2143384028997772,0.21594109285394336,6854.226724004746,4.132151230296425,3.5176209229210884,0.2037081108402384,7190.04752073288
3.8268086800971317,3.320708552669462,0.18400141071003784,6854.226724004746,4.132151230296425,3.5545848024948405,0.19662297642109278,7190.04752073288
3.8888103682076207,3.3914863660378196,0.1700947966146126,6854.226724004746,4.166357423488281,3.608462281338457,0.20553866406563942,7190.04752073288
3.8888103682076207,3.431208887278572,0.16577800152402078,6854.226724004746,4.325881756333087,3.695853401757431,0.21206787501352725,7190.04752073288
3.9524052012100896,3.4949240713514165,0.18740230051037726,6854.226724004746,4.325881756333087,3.745711574148576,0.20708440303337894,7190.04752073288
4.043915241447122,3.6047048903180823,0.19188589178397836,6854.226724004746,4.325881756333087,3.7811213394456247,0.1874774261233356,7190.04752073288
4.097248947706328,3.6626020792294804,0.18931249138245146,6854.226724004746,4.328703525812392,3.84431755693115,0.16951831946380647,7190.04752073288
4.130631605682335,3.715731191414025,0.19405304130647844,6854.226724004746,4.328703525812392,3.898779862419662,0.1665786052168498,7190.04752073288
4.130631605682335,3.7793138815161385,0.17432808244729214,6854.226724004746,4.391363650204508,3.9620820050732277,0.19040131169087818,7190.04752073288
