Best Fitness (Genetic Algorithm),Mean Fitness (Genetic Algorithm),Std Fitness (Genetic Algorithm),Execution Time (Genetic Algorithm),Best Fitness (Genetic Algorithm Bridge),Mean Fitness (Genetic Algorithm Bridge),Std Fitness (Genetic Algorithm Bridge),Execution Time (Genetic Algorithm Bridge)
1.1410634011940375,-0.10784747620327069,0.6265651571085029,6938.5615180969235,1.627688122396156,0.019045311326425767,0.5405146640246887,6846.749217557907
1.5064221419812196,0.18441214354184599,0.5478816116530811,6938.5615180969235,1.8956965970821316,0.26382120635100803,0.6157778862428014,6846.749217557907
1.7797441080708833,0.3477131223984583,0.6404858988272625,6938.5615180969235,2.4518429429323296,0.5366357621360731,0.6548071611573347,6846.749217557907
2.023212613877509,0.5893007699245822,0.7080951593659455,6938.5615180969235,2.4953085322472734,0.6157009655085732,0.7803947726948033,6846.749217557907
2.169923332794275,0.7313294463136861,0.8408515261147518,6938.5615180969235,2.5671041304007636,0.8758477124955417,0.8371597035369108,6846.749217557907
2.1942766080205063,0.8006466565193,0.8920404651541988,6938.5615180969235,3.1520521134958885,1.0578930350897264,0.9038269585537495,6846.749217557907
2.496224708960012,1.0061689693662677,0.875194616226007,6938.5615180969235,3.269810746980153,1.1933689448697395,0.9781825724188996,6846.749217557907
2.568375415678868,1.171066426637819,0.8973325162241647,6938.5615180969235,3.32905621336755,1.3397974029430921,1.12672921412933,6846.749217557907
2.63318329256503,1.3143221967546626,0.8768643400143178,6938.5615180969235,3.392317805463565,1.4741801759667663,1.1630481336304674,6846.749217557907
2.858812256585324,1.4293669612717443,0.9608170852534856,6938.5615180969235,3.7104290746337734,1.7308805260152262,1.1532487247535306,6846.749217557907
3.006180151197916,1.7044157907173119,1.0055411177352653,6938.5615180969235,3.8189245980697955,1.6625430225729048,1.3076052744522764,6846.749217557907
3.173672462049539,1.7355427204185925,1.1735663608415918,6938.5615180969235,4.049743271448491,1.8827542146272394,1.3032240478790666,6846.749217557907
3.180294031504459,1.8202826890569697,1.1615914995716834,6938.5615180969235,4.356971873005952,1.9743107249593208,1.4261563060066165,6846.749217557907
3.2627200022793934,2.0311300451897822,1.0427445181189512,6938.5615180969235,4.556163014688161,2.175295592709816,1.4061533439737355,6846.749217557907
3.266393602523908,2.0404060669320456,1.1171120985412153,6938.5615180969235,4.567475685870237,2.2070918343391073,1.4809490823622282,6846.749217557907
