Generation,Reward,Best Fitness,Mean Fitness,Std Fitness,Execution Time
0,1.5034648882644803,1.5034648882644803,-0.005339660454262668,0.6024101340867775,6934.807249450683
1,1.772294968143827,1.772294968143827,0.439072569786313,0.555714344454336,6934.807249450683
2,2.1631393681527054,2.1631393681527054,0.6656617651548196,0.6484783825557814,6934.807249450683
3,2.298273644583438,2.298273644583438,0.9193045569448712,0.7369551913901208,6934.807249450683
4,2.3301204556417003,2.3301204556417003,1.148846418603338,0.7820161744824146,6934.807249450683
5,2.5822947014358997,2.5822947014358997,1.3761942707561012,0.8049165234758873,6934.807249450683
6,2.6735408053511827,2.6735408053511827,1.4676628734910524,0.8309993183325689,6934.807249450683
7,2.743221826731819,2.743221826731819,1.489978765675091,0.8804037286020856,6934.807249450683
8,2.7556610897155758,2.7556610897155758,1.6740811770058734,0.8575266959421773,6934.807249450683
9,2.9094179227881285,2.9094179227881285,1.837045331086775,0.7966651292000517,6934.807249450683
10,2.9755454196683973,2.9755454196683973,1.8756990546595094,0.871494217560806,6934.807249450683
11,3.0518755211085677,3.0518755211085677,1.9369614934132422,0.9523391255738364,6934.807249450683
12,3.3807265000867703,3.3807265000867703,2.038345808696402,0.9340041696913424,6934.807249450683
13,3.5262288155937553,3.5262288155937553,2.077902255952048,0.9973714076917762,6934.807249450683
14,3.5744631451223148,3.5744631451223148,2.1294170689975536,1.0442535497535474,6934.807249450683
15,3.7164046951454814,3.7164046951454814,2.2577175987464515,0.9795200120234993,6934.807249450683
16,3.8939890786393674,3.8939890786393674,2.392412396227247,1.0164552522007866,6934.807249450683
17,4.019735173730634,4.019735173730634,2.5107921707346676,1.0580195877490504,6934.807249450683
18,4.03768124410034,4.03768124410034,2.6089233041149233,1.0417410045831148,6934.807249450683
19,4.133404470836647,4.133404470836647,2.7371365248185966,1.1186336551466884,6934.807249450683
20,4.22174174806714,4.22174174806714,2.7754555299082346,1.143677265292478,6934.807249450683
21,4.22174174806714,4.22174174806714,2.771808841715255,1.1946310182786912,6934.807249450683
22,4.22174174806714,4.22174174806714,2.69227271572221,1.3133323515379902,6934.807249450683
23,4.2546889204914455,4.2546889204914455,2.8815230829254004,1.1381906800873147,6934.807249450683
24,4.328313705434805,4.328313705434805,3.0145691203935843,1.2713351227278515,6934.807249450683
25,4.340893406849454,4.340893406849454,2.9328991182902913,1.2386557045716535,6934.807249450683
26,4.340893406849454,4.340893406849454,2.8274955754052953,1.3387413915389066,6934.807249450683
27,4.479660609270758,4.479660609270758,2.9200315525318663,1.4081243817042015,6934.807249450683
28,4.531103483080104,4.531103483080104,2.924997157444973,1.345623274704715,6934.807249450683
29,4.557546868341639,4.557546868341639,2.8071668492328192,1.417904874941217,6934.807249450683
30,4.5783444803098945,4.5783444803098945,2.9049606442597717,1.327403324194158,6934.807249450683
31,4.640029775801689,4.640029775801689,3.220301146346767,1.2101207064494401,6934.807249450683
32,4.640029775801689,4.640029775801689,3.268810727426235,1.2575583847789473,6934.807249450683
33,4.640029775801689,4.640029775801689,3.316992039809572,1.1914668483830018,6934.807249450683
34,4.681041210996694,4.681041210996694,3.254616607716193,1.3142424614641528,6934.807249450683
35,4.707654764882355,4.707654764882355,3.223492169195329,1.376234531528319,6934.807249450683
36,4.707654764882355,4.707654764882355,3.2672803799848724,1.3334299582800435,6934.807249450683
37,4.707654764882355,4.707654764882355,3.290060332054499,1.3113330260691618,6934.807249450683
38,4.72811039207882,4.72811039207882,3.4246286208449903,1.2579178587825441,6934.807249450683
39,4.72811039207882,4.72811039207882,3.467958422747092,1.3016366192175977,6934.807249450683
40,4.770845727033012,4.770845727033012,3.4226728047680317,1.3727643902102442,6934.807249450683
41,4.808067648780227,4.808067648780227,3.3639402821195574,1.3396779094266673,6934.807249450683
42,4.808067648780227,4.808067648780227,3.5517496809497073,1.2232995790840295,6934.807249450683
43,4.813653351546983,4.813653351546983,3.493407834219071,1.3345777701098138,6934.807249450683
44,4.845421300512887,4.845421300512887,3.387589062481215,1.3522129393878963,6934.807249450683
45,4.884395565444949,4.884395565444949,3.3529044241769044,1.4740333681731232,6934.807249450683
46,4.968302946903515,4.968302946903515,3.3554295607523508,1.4281516660515652,6934.807249450683
47,4.9901157507017935,4.9901157507017935,3.340206088427975,1.406154447968472,6934.807249450683
48,5.019726714272486,5.019726714272486,3.372710595681222,1.4184108987380615,6934.807249450683
49,5.019726714272486,5.019726714272486,3.2130351683107476,1.526465829331346,6934.807249450683
50,5.066925954622209,5.066925954622209,3.375777141571728,1.4525175945789937,6934.807249450683
51,5.083132512581637,5.083132512581637,3.381129163499646,1.5784170369542234,6934.807249450683
52,5.16833439468268,5.16833439468268,3.2871835533195104,1.5157699405519047,6934.807249450683
