Generation,Best Fitness,Mean Fitness,Std Fitness,Execution Time
0,0.3369899833856468,-0.02586470263817351,0.18408919713328514,29839.437547302245
1,0.34255670273442373,0.09653017657436126,0.1640990398915862,29839.437547302245
2,0.34338129721202443,0.26181685091758927,0.1682752172060471,29839.437547302245
3,0.3599506265943133,0.2561408562525598,0.16385404297730471,29839.437547302245
4,0.6206300520350007,0.4009744110006853,0.28312748861221315,29839.437547302245
5,0.6313016026781946,0.46726591831945435,0.2685841160448165,29839.437547302245
6,0.6842780238932769,0.4650829957855408,0.3073534669007789,29839.437547302245
7,0.6923054409843068,0.5161801355898893,0.29491047036747353,29839.437547302245
8,0.7624631966624251,0.5624520706976425,0.31553104721902636,29839.437547302245
9,0.9108468456468548,0.6152730654383525,0.45444142483632166,29839.437547302245
10,0.9185721245260308,0.6587607945216887,0.40161662870092574,29839.437547302245
11,0.9213484975302283,0.6271084877305377,0.455886852175996,29839.437547302245
12,0.9925811654980758,0.7201857934995156,0.4250297736767593,29839.437547302245
13,0.9967866693597562,0.6829913573026036,0.5067126041617211,29839.437547302245
14,1.0098975019054497,0.7124495113370961,0.502522749651279,29839.437547302245
15,1.018110464290681,0.7072989060430426,0.49188290214329866,29839.437547302245
16,1.018110464290681,0.7529913808226673,0.4386355984392504,29839.437547302245
17,1.018110464290681,0.7074759478003794,0.5028838372987247,29839.437547302245
18,1.0302742301180836,0.7226908842198471,0.46521538565349907,29839.437547302245
19,1.0662134978664783,0.7173959743443558,0.5227909679392104,29839.437547302245
20,1.079511710900539,0.7747541567851413,0.5119367316738925,29839.437547302245
21,1.079511710900539,0.7630218901202052,0.5442082061097341,29839.437547302245
22,1.0806178149107086,0.7771182466957391,0.524864512547693,29839.437547302245
23,1.0915875768545322,0.7827645576887569,0.4818502418756636,29839.437547302245
24,1.0975255375880149,0.764760391177959,0.4934485484996035,29839.437547302245
25,1.0975255375880149,0.7563245530156076,0.618486423747856,29839.437547302245
26,1.1066155825385997,0.7568915601191473,0.6025205083107725,29839.437547302245
27,1.1066155825385997,0.7906171282239114,0.4880869291806259,29839.437547302245
28,1.1116514689669401,0.8089174876061712,0.4872158327146968,29839.437547302245
29,1.112456961769267,0.8058324178851846,0.5393285640668569,29839.437547302245
30,1.1370099844010035,0.8414292519603375,0.48949295601774506,29839.437547302245
31,1.1390597562627494,0.8265153925826061,0.536656808156857,29839.437547302245
32,1.1486919750624593,0.8764641125294048,0.4794652376272583,29839.437547302245
33,1.171723065309883,0.8383273814235108,0.520907908539113,29839.437547302245
34,1.174938143951616,0.8262784336256457,0.6059019983674967,29839.437547302245
35,1.1815200476727172,0.8466204429799806,0.5212812560607911,29839.437547302245
36,1.2170720477704169,0.8473330583609353,0.5494135397626813,29839.437547302245
37,1.337053942266806,0.9265581981367706,0.6414754720548577,29839.437547302245
38,1.4258518537270282,0.9912827024921572,0.6763392361150606,29839.437547302245
39,1.4277110537336282,1.0586201459304758,0.6528119190991697,29839.437547302245
40,1.4277110537336282,1.0270629685778294,0.6659518574557871,29839.437547302245
