Generation,Reward,Best Fitness,Mean Fitness,Std Fitness,Execution Time
0,0.6303783630460643,0.6303783630460643,-0.11140138286461661,0.4422203379176654,6950.105977058411
1,1.1300816158420803,1.1300816158420803,0.18078696709523778,0.46133215827297797,6950.105977058411
2,1.1300816158420803,1.1300816158420803,0.2137554575555894,0.5233996068533636,6950.105977058411
3,1.1300816158420803,1.1300816158420803,0.38033459542750714,0.48229703897861137,6950.105977058411
4,1.1786186711129747,1.1786186711129747,0.20467587513000218,0.9795933143573841,6950.105977058411
5,2.0741400935201884,2.0741400935201884,0.9191253735081449,0.7419459032008784,6950.105977058411
6,2.0741400935201884,2.0741400935201884,1.11452883535385,0.6062412125450396,6950.105977058411
7,2.200066658592926,2.200066658592926,1.061270381297179,0.7745285337995086,6950.105977058411
8,3.402919891155983,3.402919891155983,1.3329782798711238,1.1068045735704377,6950.105977058411
9,3.629909005350229,3.629909005350229,1.888898199777811,1.3193228275688278,6950.105977058411
10,3.8537031407273488,3.8537031407273488,2.2775389287223455,1.2910416514034178,6950.105977058411
11,4.770552942649395,4.770552942649395,2.9672370844482105,1.4593696591005316,6950.105977058411
12,4.770552942649395,4.770552942649395,3.000042699862693,1.4504981942106148,6950.105977058411
13,4.770552942649395,4.770552942649395,3.2250321327762337,1.1291155367507952,6950.105977058411
14,4.770552942649395,4.770552942649395,3.5380354126059217,1.0535340888164206,6950.105977058411
15,4.830489124936085,4.830489124936085,3.089066369630237,1.639592625643463,6950.105977058411
16,4.9040105237546285,4.9040105237546285,3.2794137634389195,1.3400381636259848,6950.105977058411
17,4.9040105237546285,4.9040105237546285,3.0245276959869836,1.3939357561846306,6950.105977058411
18,4.984171296906971,4.984171296906971,3.7978802122841535,0.9982551247959925,6950.105977058411
19,5.557123349800409,5.557123349800409,3.4979063146034504,1.3959330971392527,6950.105977058411
20,5.557123349800409,5.557123349800409,4.235163425222967,1.0688297498418846,6950.105977058411
21,5.69444096714137,5.69444096714137,3.31699351916548,1.7529625507738809,6950.105977058411
22,5.69444096714137,5.69444096714137,3.81902443155374,1.533432889009835,6950.105977058411
23,5.714655702373568,5.714655702373568,3.96085381237474,1.4820533870622,6950.105977058411
24,5.714655702373568,5.714655702373568,3.4277662247211262,1.7318246726206508,6950.105977058411
25,5.714655702373568,5.714655702373568,3.7328250018094677,1.511684632176295,6950.105977058411
26,5.714655702373568,5.714655702373568,3.6373756406340236,2.000900247211679,6950.105977058411
27,5.714655702373568,5.714655702373568,3.482300620682904,1.856160777922082,6950.105977058411
28,5.714655702373568,5.714655702373568,4.039365210239746,1.7467031866601588,6950.105977058411
29,5.714655702373568,5.714655702373568,3.990365912139687,1.9162309565886688,6950.105977058411
30,5.714655702373568,5.714655702373568,4.4898326419595875,1.6598811490817422,6950.105977058411
31,5.714655702373568,5.714655702373568,4.3360249707875615,1.8507047901556228,6950.105977058411
32,5.714655702373568,5.714655702373568,4.308882173249222,1.3276376859123706,6950.105977058411
33,5.714655702373568,5.714655702373568,4.2528393803261295,1.9061942093785766,6950.105977058411
34,6.021136683198126,6.021136683198126,4.469223609351054,1.4963154820696054,6950.105977058411
35,6.021136683198126,6.021136683198126,4.048574237213246,1.8354934199329382,6950.105977058411
36,6.448995813234258,6.448995813234258,3.787371252354712,2.0530926004607637,6950.105977058411
37,7.498923415319982,7.498923415319982,3.2771931518003603,2.2613435637140507,6950.105977058411
38,7.498923415319982,7.498923415319982,4.378724739589673,2.1941323648059385,6950.105977058411
39,7.812258924793391,7.812258924793391,5.117163045371113,1.8623730891205137,6950.105977058411
40,7.812258924793391,7.812258924793391,4.5830569615879275,2.5617906920542013,6950.105977058411
41,7.812258924793391,7.812258924793391,4.655988821219642,2.185126294745815,6950.105977058411
42,7.972242827228785,7.972242827228785,5.377054451348797,2.3091482259639116,6950.105977058411
43,7.972242827228785,7.972242827228785,5.9968707934385295,2.3702280867589103,6950.105977058411
